,0,price,strike_price,title
0,5702016109603,"38,57",,Lego DUPLO Jurassic World T-Rex Aussichtsplattform 10880 (22 pieces)
1,5702016668186,"6,11","7,68€",LEGO 30574 Katze (Polybag)
2,5702016667783,"7,19","7,42€",LEGO Ninjago Kombi Flitzer 30536 Polybag
3,5702016668247,"7,78","7,90€",bekannt Lego Hidden Side 30464 - EL Fuegos Stunt-Kanone
4,5702015599399,not available,,"LEGO Duplo 10812 - Bagger und Lastwagen, Ideales Geschenk für 2 Jährige"
5,5702016110364,"51,99","69,99€",LEGO Harry Potter und die Kammer des Schreckens – Die Peitschende Weide von Hogwarts (75953) Bauset (753 Teile)
6,5702016111309,not available,,"LEGO Friends 41333 - Olivias Rettungsfahrzeug, Beliebtes Kinderspielzeug"
7,5702016077506,not available,,"LEGO City 60181 - Starke Fahrzeuge Forsttraktor, Cooles Kinderspielzeug"
8,5702016367614,"36,99","49,99€","LEGO 10899 DUPLO Disney Elsas Eispalast, Bausteine, Mehrfarbig"
9,5702016111965,"7,99","9,99€","LEGO Duplo 10870 - Tiere auf dem Bauernhof, Lernspielzeug"
10,5702016110852,not available,,"LEGO Duplo 10860 - Mein erstes Rennauto, Spielzeug für das Kindergartenalter"
11,5702015599061,"19,95",,"LEGO Duplo 10809 - Polizeistreife, Kleinkinder-Spielzeug, große Bausteine"
12,5702015357142,"6,49","7,99€",LEGO Classic 10700 - Bauplatte
13,5702016617870,"16,76","19,99€","LEGO 60253 Eiswagen City Spielzeug mit Skater- und Hundefigur, für Kinder ab 5 Jahren"
14,5702015357180,not available,,"LEGO Classic 10696 Mittelgroße Bausteine-Box, Lernspielzeug"
15,5702016369960,"22,87","29,99€","LEGO 60226 - City Mars-Forschungsshuttle, Bauset"
16,5702016616866,"8,89","9,99€","LEGO 71700 NINJAGO Legacy Lloyds Dschungelräuber Auto mit Minifigur Lloyd, Turnier der Elemente Bauset"
17,5702015867535,"9,99","14,99€","LEGO Creator 31058 - Dinosaurier, Dinosaurier Spielzeug"
18,5702016618075,"3,99","4,99€","LEGO 10917 DUPLO Mein erstes Feuerwehrauto, Feuerwehrauto Starter-Set für Kleinkinder im Alter von 1, 5 Jahren"
19,5702016617757,"35,99","49,99€","LEGO 10914 DUPLO Deluxe Steinebox Bauset mit Aufbewahrungsbox, Erstes Steine-Lernspielzeug für Kleinkinder im Alter von 1, 5 Jahren"
20,5702016367706,"69,99","99,99€","LEGO Duplo 10907 - Tiere der Welt, Bausteine"
21,5702016111910,"17,50","24,99€","LEGO Classic 10715 - Kreativ-Bauset Fahrzeuge, Spielzeug"
22,5702016370218,"29,99","39,99€","LEGO 41378 - Friends Rettungs-U-Boot für Delfine, Bauset"
23,5702016617788,"31,99","44,99€","LEGO 60244 - Polizeihubschrauber-Transport, City, Bauset"
24,5702016370515,"15,99","19,99€",LEGO City 60231 - Feuerwehreinsatzleitung
25,5702016616286,"14,99","19,99€","LEGO 31102 Creator 3-in-1 Feuerdrache, Feuerdrache - Säbelzahntiger - Skorpion Bauset"
26,5702016617108,"7,99","9,99€","LEGO 75264 - Kylo Rens Shuttle Microfighter, Star Wars, Bauset"
27,5702016365511,"32,99","44,99€","Lego Ninjago 70674 Feuerschlange, Bauset"
28,5702016365504,"20,99","29,99€","Lego Ninjago 70673 ShuriCopter, Bauset"
29,5702016616415,"7,99","9,99€","LEGO 42102 - Mini CLAAS XERION, Technic, Bauset"
30,5702016369588,"32,99","39,99€","Lego 42093 Technic Chevrolet Corvette ZR1, bunt"
31,5702016616736,"13,89","14,99€",LEGO 41905 Schmuckbaum DOTS Bastelset für Deko-Accessoires
32,5702016668643,"13,49","14,99€",LEGO 41904 Foto Würfel DOTS Bastelset für Deko-Accessoires
33,5702016616729,"5,99",,LEGO 41903 Weltraum Armband DOTS Bastelset für individuelle Schmuck-Designs
34,5702016616712,"5,99",,LEGO 41902 Einhorn Armband DOTS Bastelset für individuelle Schmuck-Designs
35,5702016616705,"4,69","5,99€",LEGO 41901 Tiere Armband DOTS Bastelset für individuelle Schmuck-Designs
36,5702016667523,"5,29","5,99€",LEGO 41900 Regenbogen Armband DOTS Bastelset für individuelle Schmuck-Designs
37,5702016367836,"12,89","14,99€",LEGO Creator 31088 - Bewohner der Tiefsee
38,5702016618259,"16,74","19,99€",LEGO 21158 Minecraft Der Panda-Kindergarten Bauset
39,5702016370935,"59,99","79,99€","LEGO Minecraft 21155 - Die Creeper Mine, Bauset"
40,5702015930000,"5,75",,"Lego Bricks & Apps 21201 - Life of George, App nicht mehr verfügbar"
41,5702016616613,"7,99",,"LEGO 11010 Classic Weiße Bauplatte 25 cm x 25 cm für Winter-Sets, Konstruktionsbasis"
42,5702016370096,not available,,LEGO Star Wars 75223 - Naboo Starfighter Microfighter
43,5702016667547,"3,39","3,99€",LEGO 41908 Armband Ergänzungsset Smiley DOTS
44,5702016668650,"17,99","19,99€",LEGO 41906 Ananas Stiftehalter DOTS Bastelset für Deko-Accessoires
45,5702016369885,not available,,LEGO Technic 42097 - Spinnenkran
46,5702016370973,not available,,"LEGO Speed Champions 75893 - 2018 Dodge Challenger SRT Demon und 1970 Dodge Charger R/T, Rallyeauto"
47,5702016617801,"66,99","99,99€","LEGO 60246 - Polizeistation, City, Bauset"
48,5702016617795,"35,99","49,99€","LEGO 60245 - Raubüberfall mit dem Monster-Truck, City, Bauset"
49,5702016617771,"20,99","29,99€","LEGO 60243 - Verfolgungsjagd mit dem Polizeihubschrauber, City, Bauset"
50,5702016617566,"13,99","19,99€","LEGO 60242 - Festnahme auf der Autobahn, City, Bauset"
51,5702016617559,"7,99","9,99€","LEGO 60241 - Polizeihundestaffel, City, Bauset"
52,5702016117240,"19,99","24,99€",LEGO DUPLO Eisenbahnbrücke und Schienen 10872 Konstruktionsspielzeug
53,5702016159967,not available,,"LEGO Jurassic World 75931 Angriff des Dilophosaurus, Dinosaurier-Set, Kinderspielzeug"
54,5702016394429,"8,99","9,99€",LEGO NINJAGO 70680 - Ninja Tempeltraining
55,5702016396201,"8,99","9,99€","Lego 60239 City Streifenwagen, bunt"
56,5702016369526,"14,99","19,99€",LEGO City 60220 Müllabfuhr
57,5702016369496,"39,47","39,99€","LEGO City 60217 Löschflugzeug der Feuerwehr, Kinderspielzeug"
58,5702016618631,"16,11","19,99€","LEGO 43177 - Belle Märchenbuch, Disney Princess, Bauset"
59,5702016618624,"14,99","19,99€","LEGO 43176 - Arielle Märchenbuch, Disney Princess, Bauset"
60,5702016618600,"14,99","19,99€","LEGO 43174 - Mulan Märchenbuch, Disney Princess, Bauset"
61,5702016616422,"14,99","19,99€","LEGO 42103 - Dragster Rennauto, Technic, Bauset"
62,5702016368321,"57,99","79,99€","LEGO 21045 - Architecture Trafalgar Square, Bauset"
63,5702016110777,not available,,"LEGO Ninjago 70637 - Spinjitzu-Meister Cole, Unterhaltungsspielzeug"
64,5702016369274,not available,,"LEGO 71023 Kinderspielzeug, Bunt"
65,5702016616316,"38,12","49,99€","LEGO 31105 Creator 3-in-1 Spielzeugladen im Stadthaus, Stadthaus Spielzeugladen - Konditorei - Blumenladen Bauset"
66,5702016618341,"30,59","39,99€",LEGO 76898 Speed Champions Formula E Panasonic Jaguar Racing GEN2 car & Jaguar I-PACE eTROPHY Rennwagen-Set
67,5702016619300,"33,72","39,99€",LEGO 76150 Marvel Super Heroes Spiderjet vs. Venom Mech Spielset
68,5702016616811,"43,17","49,99€","LEGO 41255 Party in Pop City Trolls World Tour, Baumhaus-Set mit 2 Wohnblüten, tragbares Spielzeug für unterwegs"
69,5702016616804,"28,99","39,99€","LEGO 41254 Volcano Rock City Konzert Trolls World Tour, Spielset mit Poppy, Branch und Barb, Musikszene und Gitarren"
70,5702016616798,"23,54","29,99€","LEGO 41253 Floßabenteuer in Einsamshausen Trolls World Tour, Spielset mit Poppy, Branch und Hickory"
71,5702016616781,"25,04","34,99€","LEGO 41252 Poppys Heißluftballon Abenteuer Trolls World Tour, Spielset mit Poppy, Branch, Biggie und Herr Dinkles"
72,5702016616774,"15,99","19,99€","LEGO 41251 Poppys Wohnblüte Trolls World Tour, tragbares Spielzeug für Vorschulkinder"
73,5702016616767,"17,77","24,99€","LEGO 41250 Party am Techno Riff Trolls World Tour, Spielset mit Meerjungfrau- und Tintenfisch-Figuren"
74,5702016617344,"44,99","59,99€",LEGO 21052 Architecture Dubai Skyline-Kollektion Sammlerset
75,5702016619294,"24,99","34,99€",LEGO 76149 Marvel Super Heroes Mysterios Bedrohung Helikopter-Spielzeug
76,5702016619317,"20,99","29,99€",LEGO 76148 Marvel Super Heroes Spider-Man vs. Doc Ock Bauset
77,5702016619287,"17,99","24,99€",LEGO 76147 Marvel Super Heroes Vultures LKW-Überfall Spielset
78,5702016618051,"28,99","39,99€",LEGO 76143 Marvel Super Heroes Avengers Truck-Festnahme Spielset
79,5702016618044,"17,99","24,99€",LEGO 76142 Marvel Super Heroes Avengers Speeder-Bike Attacke Spielset
