,ean,price_tff,title,strike_price_tff,lego_code,price_amazon,strike_price_amazon
0,5702016668186,3.99,LEGO® CREATOR 30574 KATZE,,30574,6.11,7.68
1,5702016667783,3.99,LEGO® NINJAGO 30536 KOMBI-FLITZER,,30536,7.19,7.42
2,5702016668247,3.99,LEGO® HIDDEN SIDE 30464 EL FUEGOS STUNT-KANONE,,30464,7.78,7.90
3,5702016110364,63.49,LEGO® HARRY POTTER™ 75953 DIE PEITSCHENDE WEIDE VON HOGWARTS™,,75953,51.99,69.99
4,5702016367614,47.49,LEGO® DUPLO® 10899 ELSAS EISPALAST,,10899,36.99,49.99
5,5702016111965,8.95,LEGO® DUPLO® 10870 TIERE AUF DEM BAUERNHOF,,10870,7.99,9.99
6,5702015599061,14.95,LEGO® DUPLO® 10809 POLIZEISTREIFE,19.99 ,10809,19.95,
7,5702015357142,6.49,LEGO® CLASSIC 10700 GRÜNE GRUNDPLATTE,7.99 ,10700,6.49,7.99
8,5702016617870,18.95,LEGO® CITY 60253 EISWAGEN,,60253,16.76,19.99
9,5702016369960,26.49,LEGO® CITY 60226 MARS-FORSCHUNGSSHUTTLE,29.99 ,60226,22.87,29.99
10,5702016616866,8.28,LEGO® NINJAGO® 71700 LLOYDS DSCHUNGELRÄUBER,9.99 ,71700,8.89,9.99
11,5702015867535,13.49,LEGO® CREATOR 31058 DINOSAURIER,,31058,9.99,14.99
12,5702016618075,4.95,LEGO® DUPLO® 10917 MEIN ERSTES FEUERWEHRAUTO,,10917,3.99,4.99
13,5702016617757,39.99,LEGO® CLASSIC 10914 LEGO® DUPLO® DELUXE STEINEBOX,47.49 ,10914,35.99,49.99
14,5702016367706,84.95,LEGO® DUPLO® 10907 TIERE DER WELT,99.99 ,10907,69.99,99.99
15,5702016111910,23.95,LEGO® CLASSIC 10715 KREATIV-BAUSET FAHRZEUGE,,10715,17.5,24.99
16,5702016370218,38.95,LEGO® FRIENDS 41378 RETTUNGS-U-BOOT FÜR DELFINE,,41378,29.99,39.99
17,5702016617788,42.49,LEGO® CITY 60244 POLIZEIHUBSCHRAUBER-TRANSPORT,,60244,31.99,44.99
18,5702016370515,16.95,LEGO® CITY 60231 FEUERWEHR-EINSATZLEITUNG,,60231,15.99,19.99
19,5702016616286,16.95,LEGO® CREATOR 31102 FEUERDRACHE,,31102,14.99,19.99
20,5702016617108,9.95,LEGO® STAR WARS™ 75264 KYLO RENS SHUTTLE™ MICROFIGHTER,,75264,7.99,9.99
21,5702016365511,43.49,LEGO® NINJAGO® 70674 FEUERSCHLANGE,,70674,32.99,44.99
22,5702016365504,29.49,LEGO® NINJAGO® 70673 SHURICOPTER,,70673,20.99,29.99
23,5702016616415,9.49,LEGO® TECHNIC 42102 MINI CLAAS XERION,,42102,7.99,9.99
24,5702016369588,39.99,LEGO® TECHNIC 42093 CHEVROLET CORVETTE ZR1,,42093,32.99,39.99
25,5702016616736,13.95,LEGO® DOTS™ 41905 SCHMUCKBAUM,,41905,13.89,14.99
26,5702016668643,13.95,LEGO® DOTS™ 41904 FOTO WÜRFEL,,41904,13.49,14.99
27,5702016616729,5.95,LEGO® DOTS™ 41903 WELTRAUM ARMBAND,,41903,5.99,
28,5702016616712,5.95,LEGO® DOTS™ 41902 EINHORN ARMBAND,,41902,5.99,
29,5702016616705,5.95,LEGO® DOTS™ 41901 TIERE ARMBAND,,41901,4.69,5.99
30,5702016667523,5.95,LEGO® DOTS™ 41900 REGENBOGEN ARMBAND,,41900,5.29,5.99
31,5702016367836,16.49,LEGO® CREATOR 31088 BEWOHNER DER TIEFSEE,,31088,12.89,14.99
32,5702016618259,17.49,LEGO® MINECRAFT™ 21158 DER PANDA-KINDERGARTEN,,21158,16.74,19.99
33,5702016370935,74.49,LEGO® MINECRAFT™ 21155 DIE CREEPER™ MINE,,21155,59.99,79.99
34,5702016616613,7.49,LEGO® CLASSIC 11010 WEISSE BAUPLATTE,,11010,7.99,
35,5702016667547,3.99,LEGO® DOTS™ 41908 ARMBAND ERGÄNZUNGSSET SMILEY,,41908,3.39,3.99
