,0,price,title,links,availability,intended_age_range
0,5702016109603,"39,99 € 37,99 €",LEGO® MINECRAFT™ 21142 EISIGLU,https://www.toys-for-fun.com/de/21142-eisiglu.html,Auf Lager,EMPFOHLENES ALTER 8+
1,5702016668186,"3,99 €",LEGO® CREATOR 30574 KATZE,https://www.toys-for-fun.com/de/legor-creator-30574-katze.html,Auf Lager,EMPFOHLENES ALTER 6+
2,5702016667783,"3,99 €",LEGO® NINJAGO 30536 KOMBI-FLITZER,https://www.toys-for-fun.com/de/legor-lego-ninjago-30536-kombi-flitzer.html,Auf Lager,EMPFOHLENES ALTER 6+
3,5702016668247,"3,99 €",LEGO® HIDDEN SIDE 30464 EL FUEGOS STUNT-KANONE,https://www.toys-for-fun.com/de/legor-hidden-side-30464-el-fuegos-stunt-kanone.html,Auf Lager,EMPFOHLENES ALTER 6+
4,5702015599399,"19,99 € 18,95 €",LEGO® DUPLO® 10812 BAGGER & LASTWAGEN,https://www.toys-for-fun.com/de/10812-bagger-lastwagen.html,Auf Lager,EMPFOHLENES ALTER 2-5
5,5702016110364,"63,49 €",LEGO® HARRY POTTER™ 75953 DIE PEITSCHENDE WEIDE VON HOGWARTS™,https://www.toys-for-fun.com/de/75953-die-peitschende-weide-von-hogwartstm.html,Auf Lager,EMPFOHLENES ALTER 8-14
6,5702016111309,"21,60 €",LEGO® FRIENDS 41333 OLIVIAS RETTUNGSFAHRZEUG,https://www.toys-for-fun.com/de/41333-olivias-rettungsfahrzeug.html,Auf Lager,EMPFOHLENES ALTER 6-12
7,5702016077506,"17,95 €",LEGO® CITY 60181 FORSTTRAKTOR,https://www.toys-for-fun.com/de/60181-forsttraktor.html,Auf Lager,EMPFOHLENES ALTER 5-12
8,5702016367614,"47,49 €",LEGO® DUPLO® 10899 ELSAS EISPALAST,https://www.toys-for-fun.com/de/legor-duplor-10899-elsas-eispalast.html,Auf Lager,EMPFOHLENES ALTER 2+
9,5702016111965,"8,95 €",LEGO® DUPLO® 10870 TIERE AUF DEM BAUERNHOF,https://www.toys-for-fun.com/de/10870-tiere-auf-dem-bauernhof.html,Auf Lager,EMPFOHLENES ALTER 2-5
10,5702016110852,"4,85 €",LEGO® DUPLO® 10860 MEIN ERSTES RENNAUTO,https://www.toys-for-fun.com/de/10860-mein-erstes-rennauto.html,Auf Lager,EMPFOHLENES ALTER 1½-3
11,5702015599061,"19,99 € 14,95 €",LEGO® DUPLO® 10809 POLIZEISTREIFE,https://www.toys-for-fun.com/de/10809-polizeistreife.html,Auf Lager,EMPFOHLENES ALTER 2-5
12,5702015357142,"7,99 € 6,49 €",LEGO® CLASSIC 10700 GRÜNE GRUNDPLATTE,https://www.toys-for-fun.com/de/10700-gruene-grundplatte.html,Auf Lager,EMPFOHLENES ALTER 4+
13,5702016617870,"18,95 €",LEGO® CITY 60253 EISWAGEN,https://www.toys-for-fun.com/de/legor-city-60253-eiswagen.html,Auf Lager,EMPFOHLENES ALTER 5+
14,5702015357180,"29,99 € 26,95 €",LEGO® CLASSIC 10696 MITTELGROSSE BAUSTEINE-BOX,https://www.toys-for-fun.com/de/10696-legor-mittelgrosse-bausteine-box.html,Auf Lager,EMPFOHLENES ALTER 4+
15,5702016369960,"29,99 € 26,49 €",LEGO® CITY 60226 MARS-FORSCHUNGSSHUTTLE,https://www.toys-for-fun.com/de/60226-mars-forschungsshuttle.html,Auf Lager,EMPFOHLENES ALTER 6-12
16,5702016616866,"9,99 € 8,28 €",LEGO® NINJAGO® 71700 LLOYDS DSCHUNGELRÄUBER,https://www.toys-for-fun.com/de/legor-ninjagor-71700-lloyds-dschungelraeuber.html,Auf Lager,EMPFOHLENES ALTER 7+
17,5702015867535,"13,49 €",LEGO® CREATOR 31058 DINOSAURIER,https://www.toys-for-fun.com/de/31058-dinosaurier.html,Auf Lager,EMPFOHLENES ALTER 7-12
18,5702016618075,"4,95 €",LEGO® DUPLO® 10917 MEIN ERSTES FEUERWEHRAUTO,https://www.toys-for-fun.com/de/legor-duplor-10917-mein-erstes-feuerwehrauto.html,Auf Lager,EMPFOHLENES ALTER 1½+
19,5702016617757,"47,49 € 39,99 €",LEGO® CLASSIC 10914 LEGO® DUPLO® DELUXE STEINEBOX,https://www.toys-for-fun.com/de/legor-classic-10914-legor-duplor-deluxe-steinebox.html,Auf Lager,EMPFOHLENES ALTER 1½+
20,5702016367706,"99,99 € 84,95 €",LEGO® DUPLO® 10907 TIERE DER WELT,https://www.toys-for-fun.com/de/10907-tiere-der-welt.html,Auf Lager,EMPFOHLENES ALTER 2+
21,5702016111910,"23,95 €",LEGO® CLASSIC 10715 KREATIV-BAUSET FAHRZEUGE,https://www.toys-for-fun.com/de/10715-kreativ-bauset-fahrzeuge.html,Auf Lager,EMPFOHLENES ALTER 4-99
22,5702016370218,"38,95 €",LEGO® FRIENDS 41378 RETTUNGS-U-BOOT FÜR DELFINE,https://www.toys-for-fun.com/de/41378-rettungs-u-boot-fuer-delfine.html,Auf Lager,EMPFOHLENES ALTER 6+
23,5702016617788,"42,49 €",LEGO® CITY 60244 POLIZEIHUBSCHRAUBER-TRANSPORT,https://www.toys-for-fun.com/de/legor-city-60244-polizeihubschrauber-transport.html,Auf Lager,EMPFOHLENES ALTER 5+
24,5702016370515,"16,95 €",LEGO® CITY 60231 FEUERWEHR-EINSATZLEITUNG,https://www.toys-for-fun.com/de/60231-feuerwehr-einsatzleitung.html,Auf Lager,EMPFOHLENES ALTER 5+
25,5702016616286,"16,95 €",LEGO® CREATOR 31102 FEUERDRACHE,https://www.toys-for-fun.com/de/legor-creator-31102-feuerdrache.html,Auf Lager,EMPFOHLENES ALTER 7+
26,5702016617108,"9,95 €",LEGO® STAR WARS™ 75264 KYLO RENS SHUTTLE™ MICROFIGHTER,https://www.toys-for-fun.com/de/legor-star-warstm-75264-kylo-rens-shuttletm-microfighter.html,Auf Lager,EMPFOHLENES ALTER 6+
27,5702016365511,"43,49 €",LEGO® NINJAGO® 70674 FEUERSCHLANGE,https://www.toys-for-fun.com/de/70674-feuerschlange.html,Auf Lager,EMPFOHLENES ALTER 8+
28,5702016365504,"29,49 €",LEGO® NINJAGO® 70673 SHURICOPTER,https://www.toys-for-fun.com/de/70673-shuricopter.html,Auf Lager,EMPFOHLENES ALTER 8+
29,5702016616415,"9,49 €",LEGO® TECHNIC 42102 MINI CLAAS XERION,https://www.toys-for-fun.com/de/legor-technic-42102-mini-claas-xerion.html,Auf Lager,EMPFOHLENES ALTER 7+
30,5702016369588,"39,99 €",LEGO® TECHNIC 42093 CHEVROLET CORVETTE ZR1,https://www.toys-for-fun.com/de/42093-chevrolet-corvette-zr1.html,Auf Lager,EMPFOHLENES ALTER 9+
31,5702016616736,"13,95 €",LEGO® DOTS™ 41905 SCHMUCKBAUM,https://www.toys-for-fun.com/de/legor-dotstm-41905-schmuckbaum.html,Auf Lager,EMPFOHLENES ALTER 6+
32,5702016668643,"13,95 €",LEGO® DOTS™ 41904 FOTO WÜRFEL,https://www.toys-for-fun.com/de/legor-dotstm-41904-foto-wuerfel.html,Auf Lager,EMPFOHLENES ALTER 6+
33,5702016616729,"5,95 €",LEGO® DOTS™ 41903 WELTRAUM ARMBAND,https://www.toys-for-fun.com/de/legor-dotstm-41903-weltraum-armband.html,Auf Lager,EMPFOHLENES ALTER 6+
34,5702016616712,"5,95 €",LEGO® DOTS™ 41902 EINHORN ARMBAND,https://www.toys-for-fun.com/de/legor-dotstm-41902-einhorn-armband.html,Auf Lager,EMPFOHLENES ALTER 6+
35,5702016616705,"5,95 €",LEGO® DOTS™ 41901 TIERE ARMBAND,https://www.toys-for-fun.com/de/legor-dotstm-41901-tiere-armband.html,Auf Lager,EMPFOHLENES ALTER 6+
36,5702016667523,"5,95 €",LEGO® DOTS™ 41900 REGENBOGEN ARMBAND,https://www.toys-for-fun.com/de/legor-dotstm-41900-regenbogen-armband.html,Auf Lager,EMPFOHLENES ALTER 6+
37,5702016367836,"16,49 €",LEGO® CREATOR 31088 BEWOHNER DER TIEFSEE,https://www.toys-for-fun.com/de/31088-bewohner-der-tiefsee.html,Auf Lager,EMPFOHLENES ALTER 7+
38,5702016618259,"17,49 €",LEGO® MINECRAFT™ 21158 DER PANDA-KINDERGARTEN,https://www.toys-for-fun.com/de/legor-minecrafttm-21158-der-panda-kindergarten.html,Auf Lager,EMPFOHLENES ALTER 7+
39,5702016370935,"74,49 €",LEGO® MINECRAFT™ 21155 DIE CREEPER™ MINE,https://www.toys-for-fun.com/de/21155-die-creepertm-mine.html,Auf Lager,EMPFOHLENES ALTER 8+
40,5702015930000,"143,90 € 134,95 €",LEGO® BOOST 17101 PROGRAMMIERBARES ROBOTICSET,https://www.toys-for-fun.com/de/17101-programmierbares-roboticset.html,Auf Lager,EMPFOHLENES ALTER 7-12
41,5702016616613,"7,49 €",LEGO® CLASSIC 11010 WEISSE BAUPLATTE,https://www.toys-for-fun.com/de/legor-classic-11010-weisse-bauplatte.html,Auf Lager,EMPFOHLENES ALTER 4+
42,5702016370096,"9,49 €",LEGO® STAR WARS™ 75223 NABOO STARFIGHTER™ MICROFIGHTER,https://www.toys-for-fun.com/de/75223-naboo-starfightertm-microfighter.html,Auf Lager,EMPFOHLENES ALTER 6+
